5 bits - opcode, 15 bits - address, 12 bits - argument
10010000000001111100000001101111 -> opcode: push, opcode number: 18, memory index: 124, arg: 111
10010000000001111101000000010111 -> opcode: push, opcode number: 18, memory index: 125, arg: 23
10000000000001111110000000000000 -> opcode: store, opcode number: 16, memory index: 126, arg: 0
10010000000001111111000000101100 -> opcode: push, opcode number: 18, memory index: 127, arg: 44
10010000000010000000000000011000 -> opcode: push, opcode number: 18, memory index: 128, arg: 24
10000000000010000001000000000000 -> opcode: store, opcode number: 16, memory index: 129, arg: 0
10010000000010000010000000100000 -> opcode: push, opcode number: 18, memory index: 130, arg: 32
10010000000010000011000000011001 -> opcode: push, opcode number: 18, memory index: 131, arg: 25
10000000000010000100000000000000 -> opcode: store, opcode number: 16, memory index: 132, arg: 0
10010000000010000101000000010010 -> opcode: push, opcode number: 18, memory index: 133, arg: 18
10001000000010000110000000000000 -> opcode: load, opcode number: 17, memory index: 134, arg: 0
10010000000010000111000000010010 -> opcode: push, opcode number: 18, memory index: 135, arg: 18
10010000000010001000000000000001 -> opcode: push, opcode number: 18, memory index: 136, arg: 1
00100000000010001001000000000000 -> opcode: add, opcode number: 4, memory index: 137, arg: 0
00111000000010001010000000000000 -> opcode: over, opcode number: 7, memory index: 138, arg: 0
10110000000010001011000010010111 -> opcode: zjmp, opcode number: 22, memory index: 139, arg: 151
01000000000010001100000000000000 -> opcode: dup, opcode number: 8, memory index: 140, arg: 0
10001000000010001101000000000000 -> opcode: load, opcode number: 17, memory index: 141, arg: 0
10011000000010001110000000000000 -> opcode: rpop, opcode number: 19, memory index: 142, arg: 0
01000000000010001111000000000000 -> opcode: dup, opcode number: 8, memory index: 143, arg: 0
10100000000010010000000000000000 -> opcode: pop, opcode number: 20, memory index: 144, arg: 0
01110000000010010001000000000000 -> opcode: omit, opcode number: 14, memory index: 145, arg: 0
00110000000010010010000000000000 -> opcode: swap, opcode number: 6, memory index: 146, arg: 0
10010000000010010011000000000001 -> opcode: push, opcode number: 18, memory index: 147, arg: 1
00011000000010010100000000000000 -> opcode: sub, opcode number: 3, memory index: 148, arg: 0
00110000000010010101000000000000 -> opcode: swap, opcode number: 6, memory index: 149, arg: 0
10101000000010010110000010001000 -> opcode: jmp, opcode number: 21, memory index: 150, arg: 136
10010000000010010111001000101010 -> opcode: push, opcode number: 18, memory index: 151, arg: 554
10001000000010011000000000000000 -> opcode: load, opcode number: 17, memory index: 152, arg: 0
10010000000010011001000000000000 -> opcode: push, opcode number: 18, memory index: 153, arg: 0
01100000000010011010000000000000 -> opcode: di, opcode number: 12, memory index: 154, arg: 0
10100000000010011011000000000000 -> opcode: pop, opcode number: 20, memory index: 155, arg: 0
10100000000010011100000000000000 -> opcode: pop, opcode number: 20, memory index: 156, arg: 0
01101000000010011101000000000000 -> opcode: ei, opcode number: 13, memory index: 157, arg: 0
10010000000010011110001000000001 -> opcode: push, opcode number: 18, memory index: 158, arg: 513
01100000000010011111000000000000 -> opcode: di, opcode number: 12, memory index: 159, arg: 0
10011000000010100000000000000000 -> opcode: rpop, opcode number: 19, memory index: 160, arg: 0
10011000000010100001000000000000 -> opcode: rpop, opcode number: 19, memory index: 161, arg: 0
00111000000010100010000000000000 -> opcode: over, opcode number: 7, memory index: 162, arg: 0
00111000000010100011000000000000 -> opcode: over, opcode number: 7, memory index: 163, arg: 0
10100000000010100100000000000000 -> opcode: pop, opcode number: 20, memory index: 164, arg: 0
10100000000010100101000000000000 -> opcode: pop, opcode number: 20, memory index: 165, arg: 0
00110000000010100110000000000000 -> opcode: swap, opcode number: 6, memory index: 166, arg: 0
00000000000010100111000000000000 -> opcode: drop, opcode number: 0, memory index: 167, arg: 0
01101000000010101000000000000000 -> opcode: ei, opcode number: 13, memory index: 168, arg: 0
00100000000010101001000000000000 -> opcode: add, opcode number: 4, memory index: 169, arg: 0
10001000000010101010000000000000 -> opcode: load, opcode number: 17, memory index: 170, arg: 0
10010000000010101011000000001011 -> opcode: push, opcode number: 18, memory index: 171, arg: 11
01110000000010101100000000000000 -> opcode: omit, opcode number: 14, memory index: 172, arg: 0
01100000000010101101000000000000 -> opcode: di, opcode number: 12, memory index: 173, arg: 0
10011000000010101110000000000000 -> opcode: rpop, opcode number: 19, memory index: 174, arg: 0
10011000000010101111000000000000 -> opcode: rpop, opcode number: 19, memory index: 175, arg: 0
10010000000010110000000000000001 -> opcode: push, opcode number: 18, memory index: 176, arg: 1
00100000000010110001000000000000 -> opcode: add, opcode number: 4, memory index: 177, arg: 0
00111000000010110010000000000000 -> opcode: over, opcode number: 7, memory index: 178, arg: 0
00111000000010110011000000000000 -> opcode: over, opcode number: 7, memory index: 179, arg: 0
01011000000010110100000000000000 -> opcode: ls, opcode number: 11, memory index: 180, arg: 0
10110000000010110101000010011010 -> opcode: zjmp, opcode number: 22, memory index: 181, arg: 154
00000000000010110110000000000000 -> opcode: drop, opcode number: 0, memory index: 182, arg: 0
00000000000010110111000000000000 -> opcode: drop, opcode number: 0, memory index: 183, arg: 0
01101000000010111000000000000000 -> opcode: ei, opcode number: 13, memory index: 184, arg: 0
10010000000010111001000000001011 -> opcode: push, opcode number: 18, memory index: 185, arg: 11
10100000000010111010000000000000 -> opcode: pop, opcode number: 20, memory index: 186, arg: 0
10010000000010111011000000000011 -> opcode: push, opcode number: 18, memory index: 187, arg: 3
10010000000010111100000000011010 -> opcode: push, opcode number: 18, memory index: 188, arg: 26
10000000000010111101000000000000 -> opcode: store, opcode number: 16, memory index: 189, arg: 0
10010000000010111110000000100001 -> opcode: push, opcode number: 18, memory index: 190, arg: 33
10010000000010111111000000011011 -> opcode: push, opcode number: 18, memory index: 191, arg: 27
10000000000011000000000000000000 -> opcode: store, opcode number: 16, memory index: 192, arg: 0
10010000000011000001000000100001 -> opcode: push, opcode number: 18, memory index: 193, arg: 33
10010000000011000010000000011100 -> opcode: push, opcode number: 18, memory index: 194, arg: 28
10000000000011000011000000000000 -> opcode: store, opcode number: 16, memory index: 195, arg: 0
10010000000011000100000000100001 -> opcode: push, opcode number: 18, memory index: 196, arg: 33
10010000000011000101000000011101 -> opcode: push, opcode number: 18, memory index: 197, arg: 29
10000000000011000110000000000000 -> opcode: store, opcode number: 16, memory index: 198, arg: 0
10010000000011000111000000011010 -> opcode: push, opcode number: 18, memory index: 199, arg: 26
10001000000011001000000000000000 -> opcode: load, opcode number: 17, memory index: 200, arg: 0
10010000000011001001000000011010 -> opcode: push, opcode number: 18, memory index: 201, arg: 26
10010000000011001010000000000001 -> opcode: push, opcode number: 18, memory index: 202, arg: 1
00100000000011001011000000000000 -> opcode: add, opcode number: 4, memory index: 203, arg: 0
00111000000011001100000000000000 -> opcode: over, opcode number: 7, memory index: 204, arg: 0
10110000000011001101000011011001 -> opcode: zjmp, opcode number: 22, memory index: 205, arg: 217
01000000000011001110000000000000 -> opcode: dup, opcode number: 8, memory index: 206, arg: 0
10001000000011001111000000000000 -> opcode: load, opcode number: 17, memory index: 207, arg: 0
10011000000011010000000000000000 -> opcode: rpop, opcode number: 19, memory index: 208, arg: 0
01000000000011010001000000000000 -> opcode: dup, opcode number: 8, memory index: 209, arg: 0
10100000000011010010000000000000 -> opcode: pop, opcode number: 20, memory index: 210, arg: 0
01110000000011010011000000000000 -> opcode: omit, opcode number: 14, memory index: 211, arg: 0
00110000000011010100000000000000 -> opcode: swap, opcode number: 6, memory index: 212, arg: 0
10010000000011010101000000000001 -> opcode: push, opcode number: 18, memory index: 213, arg: 1
00011000000011010110000000000000 -> opcode: sub, opcode number: 3, memory index: 214, arg: 0
00110000000011010111000000000000 -> opcode: swap, opcode number: 6, memory index: 215, arg: 0
10101000000011011000000011001010 -> opcode: jmp, opcode number: 21, memory index: 216, arg: 202
11001000000011011001000000000000 -> opcode: halt, opcode number: 25, memory index: 217, arg: 0
